"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"pfa03040","pfa03040","Spliceosome - Plasmodium falciparum 3D7",87,-0.431904248951048,-2.86693887878857,0.0001020199959192,0.0001020199959192,0.00320157334461507,1355,"tags=82%, list=44%, signal=47%","2655135/811246/3885948/813000/3885721/813019/9221985/811610/2655384/814113/813888/811292/814069/813100/2655254/9222018/812854/812771/812456/814238/3885881/810199/812773/2655320/2655500/812468/810827/3885869/811727/810883/814405/813814/810451/811514/810484/813934/9221911/812926/810747/811399/810943/811652/813523/2655283/810374/811388/814072/811145/814402/812988/813043/810813/813619/812270/2655083/812555/811993/812019/810797/812426/812689/813905/8445051/812409/813375/811775/813452/810657/812169/814338/814259"
"pfa03008","pfa03008","Ribosome biogenesis in eukaryotes - Plasmodium falciparum 3D7",40,-0.46024363774877,-2.51033992980804,0.000108624809906583,0.000108624809906583,0.00320157334461507,1195,"tags=85%, list=39%, signal=53%","810626/2655255/814030/811688/812259/811803/814148/812038/812477/8445001/3885777/813371/3885699/2655200/810738/2655174/811874/810423/2655329/810358/810601/2655443/2655393/813203/810797/812504/814346/810647/810730/810243/811755/811650/811350/812166"
"pfa03010","pfa03010","Ribosome - Plasmodium falciparum 3D7",85,-0.341457584265017,-2.25826541109276,0.000306309985705534,0.000306309985705534,0.00510042989337673,2017,"tags=98%, list=65%, signal=35%","812729/2655091/8445040/814443/813893/814195/810997/811878/811973/814103/810807/814028/810596/810859/810655/2655274/814411/9221880/814389/814233/811585/812460/810982/812922/812167/812209/811813/2655123/811858/814362/811812/8444995/9221802/813016/811609/814544/810860/811722/2655490/812691/811463/814482/810429/810345/814024/814305/814191/814100/810983/9221869/812984/812881/3885805/813983/811282/814388/814387/813993/810617/812765/812985/811787/813765/814278/813010/3885802/2655124/810201/814490/812030/810196/810819/812901/812977/2655275/812775/814180/813318/812161/814141/810421/2655132/9221877"
"pfa03013","pfa03013","Nucleocytoplasmic transport - Plasmodium falciparum 3D7",25,-0.481274810366939,-2.25286059431874,0.000346100599907707,0.000346100599907707,0.00510042989337673,703,"tags=64%, list=23%, signal=50%","813974/813428/3885869/814268/2655174/2655268/2655083/812555/813054/812689/3885697/814346/812145/811348/9221896/810730"
"pfa05144","pfa05144","Malaria - Plasmodium falciparum 3D7",39,0.542462439818763,4.35224174924917,0.00122100122100122,0.00122100122100122,0.0143949617633828,803,"tags=85%, list=26%, signal=63%","813645/811443/810563/810585/3885832/3885829/811062/811442/810584/2655304/810160/814167/812552/2654949/812580/811065/4794199/812398/2655305/4794163/811239/814321/814170/813649/812819/812476/811583/2655302/4794195/4794183/813139/810163/2654998"
"pfa03050","pfa03050","Proteasome - Plasmodium falciparum 3D7",35,-0.380228122508473,-1.98909401202091,0.00231890459363958,0.00231890459363958,0.0227822205690906,1597,"tags=86%, list=52%, signal=42%","813589/814246/811608/811521/813406/813832/814492/813354/810332/811719/814126/812998/2655251/812258/2655165/812570/2655309/814012/810861/814041/813745/2655183/812298/810850/812651/812214/810239/814484/2655367/3885908"
"pfa01230","pfa01230","Biosynthesis of amino acids - Plasmodium falciparum 3D7",23,-0.436616424618948,-1.98744587764541,0.00280079355817482,0.00280079355817482,0.0229018492176387,1177,"tags=74%, list=38%, signal=46%","814127/813501/814208/814196/812638/812007/810313/813498/810375/814114/811960/813502/810755/3885924/814410/812180/3885761"
"pfa00071","pfa00071","Fatty acid degradation - Plasmodium falciparum 3D7",9,-0.601601394559375,-1.94071892874382,0.00310810810810811,0.00310810810810811,0.0229018492176387,252,"tags=56%, list=8%, signal=51%","811428/813065/811059/812532/812737"
"pfa01212","pfa01212","Fatty acid metabolism - Plasmodium falciparum 3D7",15,-0.505596796384637,-1.98092408448219,0.00360561979360935,0.00360561979360935,0.0236157553733478,452,"tags=53%, list=15%, signal=46%","814099/3885707/811428/813065/812464/811059/812532/812737"
"pfa03020","pfa03020","RNA polymerase - Plasmodium falciparum 3D7",23,-0.414207693732089,-1.88544298148038,0.00676858443225581,0.00676858443225581,0.036352944321189,1414,"tags=83%, list=46%, signal=45%","811789/812658/811186/2655063/811731/810426/814120/810989/813770/813506/814496/812647/814002/810905/812845/811119/812744/814300/814350"
"pfa00250","pfa00250","Alanine, aspartate and glutamate metabolism - Plasmodium falciparum 3D7",10,-0.55290018466291,-1.85900421226633,0.00678371907422187,0.00678371907422187,0.036352944321189,1008,"tags=80%, list=33%, signal=54%","812638/812659/813779/2655330/814023/813502/810402/814410"
"pfa04146","pfa04146","Peroxisome - Plasmodium falciparum 3D7",13,-0.491541325122406,-1.83059813017486,0.00877862595419847,0.00877862595419847,0.0431230748627293,252,"tags=46%, list=8%, signal=43%","811428/813065/2655270/811059/812532/812737"
"pfa00061","pfa00061","Fatty acid biosynthesis - Plasmodium falciparum 3D7",11,-0.521400197588236,-1.8167808338147,0.0104863022676629,0.0104863022676629,0.0475492248574187,452,"tags=55%, list=15%, signal=47%","814099/811428/813065/811059/812532/812737"
