"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"PF3D7_1477300" 119.597765354355 -12.2527174958418 1.43178981963046 -7.8591964697347 3.86605438851298e-15 3.08651723999282e-13
"PF3D7_1102500" 1951.97852113744 -10.500374955128 1.05801449555509 -8.97943742268258 2.72154728329727e-19 2.98757853023957e-16
"PF3D7_0937200" 151.348936405646 -10.4421666455669 1.25770435680393 -7.50746118870201 6.02850489462927e-14 2.4064695447561e-12
"PF3D7_1476600" 908.239004485459 -9.84513080226628 1.1226910528256 -7.87850832159459 3.31312435397082e-15 2.74489227137469e-13
"PF3D7_0626700" 2240.70086459489 -9.44739602082697 0.928946027208327 -9.09352725928882 9.58770059545561e-20 2.15892786441465e-16
"PF3D7_1473700" 304.944145884758 -9.24607036495205 0.964404804160721 -8.55042439583059 1.2263674193294e-17 8.97496556379233e-15
"PF3D7_0936600" 1166.24498421526 -9.14385755137421 0.965449379135703 -8.43530248956689 3.30347271064665e-17 1.81319358405618e-14
"PF3D7_0406200" 2715.51038552048 -8.91890654666214 0.914904291972116 -8.65544802461534 4.90979196726682e-18 4.31177930565372e-15
"PF3D7_0406500" 6081.37654228181 -8.89502762048223 0.870241281173933 -9.07222834778883 1.16607414950415e-19 2.15892786441465e-16
"PF3D7_1115500" 130.738315703444 -8.66659349067759 0.961726658879747 -7.97169696804278 1.56510196619832e-15 1.63627684132782e-13
"PF3D7_0113300" 2544.81542342057 -8.61878227926078 0.945543782475495 -8.05756689480238 7.78280040679835e-16 1.10239601891134e-13
"PF3D7_1472100" 606.937294349814 -8.60540332042168 0.893225289464909 -8.51454096757351 1.6725148882255e-17 1.04914469631403e-14
"PF3D7_1222600" 1578.95884175669 -8.494998835175 1.14278953637503 -6.55851195395909 5.43473512645494e-11 4.61584563641463e-10
"PF3D7_1472200" 10792.9567861236 -8.48874702551388 0.914846272316509 -8.1857982615499 2.70504547745184e-16 7.06588371021412e-14
"PF3D7_1473200" 2419.77819594164 -8.48570782055039 0.922399793379742 -8.11546996679411 4.83908381400239e-16 8.85350709470188e-14
"PF3D7_1352900" 975.589695152124 -8.45058880734894 1.14508104992764 -6.50660388434492 7.68687514229507e-11 6.04893705193865e-10
"PF3D7_1441100" 4867.88464748077 -8.42990818554756 0.821293702008999 -9.04659096663345 1.47501334394078e-19 2.15892786441465e-16
"PF3D7_1002900" 156.941686702951 -8.31267793888292 0.908649871952369 -8.04785007361586 8.42610791801971e-16 1.13863592422137e-13
"PF3D7_1203700" 6682.71191905376 -8.2681713707095 0.888331511408225 -8.18182320155192 2.7958105336732e-16 7.06588371021412e-14
"PF3D7_0424900" 1576.96743287802 -8.23813009623014 0.899598197235964 -8.045958871938 8.55727294450132e-16 1.13863592422137e-13
"PF3D7_1401400" 20077.7516609349 -8.23565320314415 0.892309579212173 -8.10890454581084 5.10781514720818e-16 8.97136652455645e-14
"PF3D7_1343000" 3389.87876174019 -8.13037539192508 0.865734693507804 -8.23621306318921 1.77747268097978e-16 7.06588371021412e-14
"PF3D7_1117900" 443.80428520536 -8.10930628545543 0.913327093906618 -7.78396516744779 7.02861169937594e-15 4.74809753414765e-13
"PF3D7_0501100.1" 3831.67630854438 -8.07802214995179 0.920734633533703 -7.68736386377357 1.50197525349984e-14 7.94599197363588e-13
"PF3D7_0108500" 3723.08743891069 -8.07086552744143 0.916994995405784 -7.71090961550173 1.24924116816837e-14 7.12391944081467e-13
"PF3D7_1361100" 3625.38284446642 -8.04908431322784 0.874278939914365 -8.06274060989996 7.46027134764337e-16 1.10239601891134e-13
"PF3D7_0830600" 3247.65957799685 -8.03601696715604 0.919931418561791 -7.64841468090747 2.03472146884779e-14 1.00103958385467e-12
"PF3D7_1148900" 862.363841297901 -8.01987778885274 0.848827953563328 -8.27008318868826 1.33865575441843e-16 6.24642170114308e-14
"PF3D7_1148800" 674.31025197095 -8.01584838033415 1.04706563261568 -6.70048577834402 2.07727817123796e-11 2.12123917439672e-10
"PF3D7_1318000" 208.263710655981 -7.98495426351773 0.873842452057899 -7.99337940960428 1.31289295541571e-15 1.51708235979747e-13
"PF3D7_0919000" 4775.75893994346 -7.96024529961666 0.888349942558442 -7.83502645316912 4.68744011403765e-15 3.5487154380585e-13
"PF3D7_0215000" 156.353018446363 -7.95534505706923 0.94214594059585 -7.38244974305191 1.5540320193519e-13 4.90917596904618e-12
"PF3D7_1355800" 113.057872061487 -7.94520604766974 0.905761514296423 -7.66780873115881 1.7495952114997e-14 9.03820302787666e-13
"PF3D7_1449300.1" 978.050793911663 -7.93791592212683 0.893851785153001 -7.76181917110481 8.37197184374083e-15 5.40607770086264e-13
"PF3D7_0316600" 6667.67760151947 -7.91521920371735 0.927796783914414 -7.45337699333441 9.09808238337448e-14 3.24794144271523e-12
"PF3D7_0936300" 10512.0150642991 -7.91126242163083 0.845761857744481 -8.17164117575853 3.04222229348718e-16 7.06588371021412e-14
"PF3D7_1347500" 9692.29685485172 -7.89945479272493 0.869462366888713 -7.93531158503612 2.09967521191549e-15 2.04881641233799e-13
