"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"PF3D7_0937200" 41.3155871726399 -5.92945580560593 0.727507321919212 -6.77581607371552 1.23705974156197e-11 1.75740001405709e-10
"PF3D7_1479200" 9.79178336129539 -4.90785029221778 1.28093925634713 -3.05076940444611 0.00228255804016247 0.0085356689323189
"PF3D7_0822700" 43.0425865329556 -4.04005294056225 0.535040351199898 -5.68191339913808 1.33196105266187e-08 1.12092517610685e-07
"PF3D7_1465500" 16.5936497702724 -3.85116389385894 0.739571274349104 -3.85515770115362 0.000115655050887593 0.000556884187503889
"PF3D7_1016100" 7.73280146925974 -3.84993517973255 0.693561807916344 -4.10912934824736 3.97153593013576e-05 0.000208985754312076
"PF3D7_0731000" 143.192457179425 -3.83714241442526 0.441193278426778 -6.43061114743641 1.27091907525968e-10 1.50327623662781e-09
"PF3D7_1348100" 13.3962908963117 -3.75772460800822 0.728322954565002 -3.7864035325583 0.000152843393207923 0.000720651580982253
"PF3D7_1014000" 2.79959650938843 -3.70894867040965 0.921915095375651 -2.93839279126441 0.0032991874070489 0.0119832300946282
"PF3D7_0301100" 5.74680496358672 -3.58142294632588 0.815115588149532 -3.16694096377939 0.0015405158902873 0.00594043016233396
"PF3D7_1013400" 82.8780170801087 -3.55884666940735 0.457226778946855 -5.59644969899012 2.18785759851599e-08 1.7900952170715e-07
"PF3D7_1351300" 3.70105422500319 -3.51387772239933 0.831142895356716 -3.02460351456221 0.00248959260358397 0.00922115272709352
"PF3D7_1226200" 24.2469919790445 -3.50252530777018 0.726869560908749 -3.44288087210788 0.000575552783021672 0.00240336353984721
"PF3D7_1412000" 7.87970931235555 -3.50244197198957 0.758265179470119 -3.30022008097258 0.000966090350743402 0.00386861759554906
"PF3D7_1407700" 12.0765243203871 -3.47793056430871 0.725351262475964 -3.41618012195963 0.000635062256594293 0.00262766063736087
"PF3D7_0419700" 3.51785305338349 -3.45649786486338 0.940799174792371 -2.61107570104482 0.00902579118755631 0.0295483332439795
"PF3D7_1355200" 38.2041154401548 -3.30807366349836 0.545754172874332 -4.22914524197294 2.34580870752413e-05 0.000128093913882883
"PF3D7_1350600" 7.73060072023709 -3.29304608368429 0.623054195773464 -3.6803316617388 0.00023293079102839 0.00106412798823297
