"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"MSTRG.342" 776.240048052071 -4.2425345189915 0.589598709304449 -5.4995617660302 3.80736322718429e-08 1.01388672605389e-06
"MSTRG.57" 27.7385511656995 -3.31713998956531 0.726585631448919 -3.18908039090257 0.00142726180025243 0.00941469022368343
"MSTRG.2287" 5.02430934822712 -3.17757411340371 0.806394726105884 -2.70038238459136 0.00692598210912423 0.0367511522986001
"MSTRG.3060" 50.2565495978185 -3.09180018212659 0.538930684118051 -3.88139002615852 0.000103861116861696 0.00105923607125617
"MSTRG.3347" 18.7201702446973 -3.02382930187122 0.516057488829634 -3.92171288214625 8.79217213973546e-05 0.000903081681209971
"MSTRG.4878" 13.0430018588144 -3.02114142298891 0.605155055327511 -3.33987364923369 0.000838165141850642 0.00608728017162234
"MSTRG.3514" 80.1672037474417 -2.86682020816883 0.452601358695584 -4.12464561208805 3.71306025592765e-05 0.000423760368890791
"MSTRG.4399" 10904.8842987939 -2.64811030157441 0.43664646962299 -3.77447298038943 0.000160346285371197 0.00148759973137923
"MSTRG.527" 559.762969227301 -2.58390512110648 0.48982061329684 -3.2336432524668 0.00122222022942614 0.00840934301394639
"MSTRG.4049" 144.873899146962 -2.57745457332582 0.422935415974528 -3.72977649481315 0.000191649696938371 0.00171175319377253
"MSTRG.1628" 21.4991059023166 -2.51379514410353 0.575319571847396 -2.63122483256152 0.00850777315518523 0.0440078338027207
"MSTRG.4018" 61.3793764350614 -2.44609956573792 0.532081146897845 -2.71781771289777 0.00657140310165364 0.0350814080609966
"MSTRG.3764" 291.962518285914 -2.43720472444388 0.409242679816827 -3.51186421975137 0.000444975275697267 0.0034420939595768
"MSTRG.5593" 288.351901887063 -2.31048012078617 0.344203156287765 -3.80728676320029 0.000140499794179191 0.00136512637857889
"MSTRG.5128" 283.592605503173 -2.29390667008326 0.3892226250158 -3.32433570641155 0.000886294373438895 0.00639412628438894
"MSTRG.203" 467.15743800834 -2.29264400818682 0.207991658115042 -6.21488390400661 5.13626107730942e-10 2.1102695511917e-08
"MSTRG.926" 455.471086719286 -1.99669244733362 0.286151210791663 -3.48309708205036 0.00049564858948962 0.00375127721940038
"MSTRG.5242" 249.269942963827 -1.95092009299408 0.280791463695586 -3.38657051919855 0.000707720850265818 0.00519236011572574
"MSTRG.4094" 248.262281150144 -1.8911589918283 0.291681895302326 -3.05524273594225 0.00224878437829892 0.0139989261298435
"MSTRG.5549" 835.095743090451 -1.73973070560348 0.284505526956045 -2.60005741722466 0.00932081637106708 0.0476986973010479
"MSTRG.3345" 122.962947576622 -1.72905739684842 0.193019138322184 -3.77712491717527 0.000158649171312805 0.00148141239186892
"MSTRG.5399" 143.457760650549 1.78080189322253 0.244379647806464 3.19503649436831 0.00139813160001322 0.00933088562183921
"MSTRG.5409" 201.75972390786 1.92553708281826 0.198869319262203 4.6539963341352 3.2556259264977e-06 5.14460448604802e-05
"MSTRG.3957" 26.5261788458465 1.9378606572541 0.336767268550215 2.78489254995473 0.0053545463685066 0.0290559912374056
"MSTRG.2893" 116.689641695232 1.99662852532039 0.262650290594578 3.79450760577597 0.000147936747284773 0.00141822028397002
"MSTRG.4189" 13.7003274229849 2.06682279443184 0.400334093232983 2.66483123087641 0.00770269685626916 0.0402781021066002
"MSTRG.1887" 84.4107210883673 2.1003175382426 0.321994251865863 3.41719621349319 0.000632696616105755 0.00468978213381483
