Category,Unique Reads,Duplicate Reads,total
Sample-10_R1,109578,170609,280187
Sample-10_R2,107493,172694,280187
Sample-11_R1,243968,115784,359752
Sample-11_R2,232635,127117,359752
Sample-12_R1,142913,169839,312752
Sample-12_R2,110033,202719,312752
Sample-13_R1,346358,210962,557320
Sample-13_R2,330805,226515,557320
Sample-14_R1,134931,297778,432709
Sample-14_R2,101728,330981,432709
Sample-15_R1,486733,257077,743810
Sample-15_R2,427537,316273,743810
Sample-16_R1,414002,126530,540532
Sample-16_R2,327330,213202,540532
Sample-17_R1,276751,11071,287822
Sample-17_R2,263873,23949,287822
Sample-18_R1,864167,147078,1011245
Sample-18_R2,808946,202299,1011245
Sample-19_R1,289608,31599,321207
Sample-19_R2,281243,39964,321207
Sample-20_R1,453098,23709,476807
Sample-20_R2,432847,43960,476807
Sample-21_R1,188280,74785,263065
Sample-21_R2,183387,79678,263065
Sample-22_R1,51606,238448,290054
Sample-22_R2,60662,229392,290054
Sample-24_R1,54858,192116,246974
Sample-24_R2,52780,194194,246974
Sample-25_R1,135895,493504,629399
Sample-25_R2,124007,505392,629399
Sample-28_R1,247110,160652,407762
Sample-28_R2,190824,216938,407762
Sample-29_R1,315939,39934,355873
Sample-29_R2,293390,62483,355873
Sample-2_R1,180343,83295,263638
Sample-2_R2,154938,108700,263638
Sample-31_R1,147345,331553,478898
Sample-31_R2,170967,307931,478898
Sample-32_R1,89343,145050,234393
Sample-32_R2,87520,146873,234393
Sample-33_R1,159473,275509,434982
Sample-33_R2,156645,278337,434982
Sample-34_R1,171463,362398,533861
Sample-34_R2,191696,342165,533861
Sample-35_R1,106294,190755,297049
Sample-35_R2,105922,191127,297049
Sample-36_R1,161989,351612,513601
Sample-36_R2,183550,330051,513601
Sample-37_R1,154683,264854,419537
Sample-37_R2,155043,264494,419537
Sample-38_R1,258801,406650,665451
Sample-38_R2,194109,471342,665451
Sample-39_R1,300495,511881,812376
Sample-39_R2,259823,552553,812376
Sample-3_R1,174725,115861,290586
Sample-3_R2,152856,137730,290586
Sample-40_R1,195643,311094,506737
Sample-40_R2,181365,325372,506737
Sample-41_R1,274668,384009,658677
Sample-41_R2,254562,404115,658677
Sample-42_R1,246341,405324,651665
Sample-42_R2,251716,399949,651665
Sample-43_R1,148260,364438,512698
Sample-43_R2,161380,351318,512698
Sample-44_R1,145279,135530,280809
Sample-44_R2,116962,163847,280809
Sample-45_R1,262023,263505,525528
Sample-45_R2,214752,310776,525528
Sample-46_R1,227240,420305,647545
Sample-46_R2,238729,408816,647545
Sample-47_R1,416646,1414273,1830919
Sample-47_R2,460052,1370867,1830919
Sample-48_R1,477042,228820,705862
Sample-48_R2,482948,222914,705862
Sample-49_R1,422031,255733,677764
Sample-49_R2,392100,285664,677764
Sample-4_R1,116340,108239,224579
Sample-4_R2,109572,115007,224579
Sample-50_R1,227806,479277,707083
Sample-50_R2,157738,549345,707083
Sample-5_R1,114559,107845,222404
Sample-5_R2,107826,114578,222404
Sample-6_R1,174759,68572,243331
Sample-6_R2,119851,123480,243331
Sample-7_R1,180004,150271,330275
Sample-7_R2,165091,165184,330275
Sample-8_R1,165224,163275,328499
Sample-8_R2,163077,165422,328499
Sample-9_R1,147267,231786,379053
Sample-9_R2,124269,254784,379053
