Category,,Duplicate Reads,Sum
ASM0013_R1,346358,210962,557320
ASM0013_R2,330805,226515,557320
ASM0014_R1,134931,297778,432709
ASM0014_R2,101728,330981,432709
ASM0015_R1,486733,257077,743810
ASM0015_R2,427537,316273,743810
ASM0016_R1,414002,126530,540532
ASM0016_R2,327330,213202,540532
ASM0018_R1,864167,147078,1011245
ASM0018_R2,808946,202299,1011245
ASM0020_R1,453098,23709,476807
ASM0020_R2,432847,43960,476807
ASM0025_R1,135895,493504,629399
ASM0025_R2,124007,505392,629399
ASM0028_R1,247110,160652,407762
ASM0028_R2,190824,216938,407762
ASM0031_R1,147345,331553,478898
ASM0031_R2,170967,307931,478898
ASM0033_R1,159473,275509,434982
ASM0033_R2,156645,278337,434982
ASM0034_R1,171463,362398,533861
ASM0034_R2,191696,342165,533861
ASM0036_R1,161989,351612,513601
ASM0036_R2,183550,330051,513601
ASM0037_R1,154683,264854,419537
ASM0037_R2,155043,264494,419537
ASM0038_R1,258801,406650,665451
ASM0038_R2,194109,471342,665451
ASM0039_R1,300495,511881,812376
ASM0039_R2,259823,552553,812376
SM0040_R1,195643,311094,506737
SM0040_R2,181365,325372,506737
SM0041_R1,274668,384009,658677
SM0041_R2,254562,404115,658677
SM0042_R1,246341,405324,651665
SM0042_R2,251716,399949,651665
SM0043_R1,148260,364438,512698
SM0043_R2,161380,351318,512698
SM0045_R1,262023,263505,525528
SM0045_R2,214752,310776,525528
SM0046_R1,227240,420305,647545
SM0046_R2,238729,408816,647545
SM0047_R1,416646,1414273,1830919
SM0047_R2,460052,1370867,1830919
SM0048_R1,477042,228820,705862
SM0048_R2,482948,222914,705862
SM0049_R1,422031,255733,677764
SM0049_R2,392100,285664,677764
SM0050_R1,227806,479277,707083
SM0050_R2,157738,549345,707083
,,,
,,total,32165536
,,Average,629943.1538
,,min,234393
,,max,1830919
